"구분","총합계","","강남구","","강동구","","강북구","","강서구","","관악구","","광진구","","구로구","","금천구","","노원구","","도봉구","","동대문구","","동작구","","마포구","","서대문구","","서초구","","성동구","","성북구","","송파구","","양천구","","영등포구","","용산구","","은평구","","종로구","","중구","","중랑구","","기타","","타시도",""
"","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망","확진","사망"
"3/7/2020","12","0","1","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0"
"3/8/2020","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"3/9/2020","11","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0","0","0","0","0","0","0"
"3/10/2020","53","0","0","0","1","0","0","0","4","0","4","0","0","0","12","0","1","0","3","0","0","0","4","0","3","0","2","0","0","0","0","0","0","0","0","0","1","0","7","0","5","0","0","0","2","0","0","0","0","0","0","0","0","0","4","0"
"3/11/2020","19","0","0","0","0","0","0","0","3","0","4","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","2","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0"
"3/12/2020","12","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","2","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"3/13/2020","13","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","3","0","1","0","1","0","0","0","2","0","0","0","1","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3/14/2020","9","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"3/15/2020","6","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"3/16/2020","12","0","0","0","0","0","0","0","1","0","1","0","0","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"3/17/2020","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"3/18/2020","12","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3/19/2020","17","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","3","0","0","0","0","0","1","0","0","0","2","0","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3/20/2020","15","0","0","0","2","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","2","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0"
"3/21/2020","10","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"3/22/2020","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"3/23/2020","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"3/24/2020","13","0","1","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","2","0","0","0","1","0"
"3/25/2020","13","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","2","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"3/26/2020","12","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0"
"3/27/2020","18","0","5","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","2","0","1","0","1","0"
"3/28/2020","20","0","5","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","4","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0"
"3/29/2020","16","0","4","0","0","0","0","0","0","0","3","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"3/30/2020","24","0","0","0","0","0","0","0","0","0","4","0","0","0","3","0","5","0","0","0","0","0","0","0","3","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","2","0"
"3/31/2020","24","0","3","0","1","0","0","0","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","1","0","0","0","0","0","2","0","1","0","1","0","0","0","0","0","2","0","1","0","0","0","0","0","2","0"
"4/1/2020","14","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","0"
"4/2/2020","18","0","2","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","2","0","2","0","1","0","0","0","1","0","1","0","1","0"
"4/3/2020","22","0","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","2","0","0","0","2","0","3","0","1","0","0","0","3","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"4/4/2020","24","0","2","0","2","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","0","2","0","1","0","1","0","2","0","0","0","0","0","1","0","4","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0"
"4/5/2020","11","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","1","0","1","0"
"4/6/2020","4","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"4/7/2020","11","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","3","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/8/2020","12","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","3","0","0","0","2","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/9/2020","5","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/10/2020","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/11/2020","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0"
"4/12/2020","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","4","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"4/13/2020","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/14/2020","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/15/2020","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
